input_query,optimized_query
SELECT * FROM employees WHERE department = 'IT' AND salary > 50000;,SELECT name, department FROM employees WHERE department = 'IT' AND salary > 50000;
SELECT COUNT(*) FROM orders WHERE total_price > 1000 GROUP BY customer_id HAVING COUNT(*) > 5;,SELECT customer_id, COUNT(*) as order_count FROM orders WHERE total_price > 1000 GROUP BY customer_id HAVING COUNT(*) > 5;
SELECT AVG(price) FROM products WHERE category = 'Electronics';,SELECT category, AVG(price) FROM products WHERE category = 'Electronics' GROUP BY category;
SELECT * FROM customers c JOIN orders o ON c.customer_id = o.customer_id WHERE c.country = 'USA';,SELECT * FROM orders o INNER JOIN customers c ON o.customer_id = c.customer_id WHERE c.country = 'USA';
SELECT * FROM employees WHERE salary > 70000 AND department = 'HR';,SELECT name, department FROM employees WHERE salary > 70000 AND department = 'HR';
SELECT * FROM products WHERE price > 200 AND category IN ('Electronics', 'Appliances');,SELECT name, category FROM products WHERE price > 200 AND category IN ('Electronics', 'Appliances');
SELECT DISTINCT product_name FROM orders WHERE order_date BETWEEN '2022-01-01' AND '2022-12-31';,SELECT DISTINCT product_name FROM orders WHERE order_date BETWEEN '2022-01-01' AND '2022-12-31';
SELECT MAX(salary) FROM employees WHERE department = 'Finance';,SELECT department, MAX(salary) FROM employees WHERE department = 'Finance' GROUP BY department;
SELECT employee_name, AVG(salary) FROM employees WHERE department IN ('Marketing', 'Sales') GROUP BY employee_name HAVING AVG(salary) > 60000;,SELECT employee_name, AVG(salary) FROM employees WHERE department IN ('Marketing', 'Sales') GROUP BY employee_name HAVING AVG(salary) > 60000;
SELECT * FROM products WHERE price BETWEEN 50 AND 100 AND category = 'Clothing';,SELECT name, category FROM products WHERE price BETWEEN 50 AND 100 AND category = 'Clothing';
SELECT MIN(order_date) FROM orders WHERE total_price > 5000;,SELECT MIN(order_date) FROM orders WHERE total_price > 5000;
SELECT * FROM employees WHERE department = 'IT' OR (salary > 60000 AND department = 'Engineering');,SELECT name, department FROM employees WHERE department = 'IT' OR (salary > 60000 AND department = 'Engineering');
SELECT category, AVG(price) FROM products WHERE price > 100 GROUP BY category HAVING COUNT(*) > 2 ORDER BY AVG(price) DESC;,SELECT category, AVG(price) FROM products WHERE price > 100 GROUP BY category HAVING COUNT(*) > 2 ORDER BY AVG(price) DESC;
SELECT employee_name, MAX(salary) FROM employees WHERE department = 'Sales' OR department = 'Marketing' GROUP BY employee_name HAVING MAX(salary) > 80000;,SELECT employee_name, MAX(salary) FROM employees WHERE department = 'Sales' OR department = 'Marketing' GROUP BY employee_name HAVING MAX(salary) > 80000;
